NOM_LIEU,DEP,COMMUNE,CODE_INSEE,CODE_POSTAL,RAYONNEMENT,GPE_800M,GPE_STATION,GPE_LIGNE,CARTO_BIB,BIB_RECENT2000,BIB_OUV_DIM,BIB_SURFM2,BIB_GESTION,BIB_CODE_OBS_LIVRE,CARTO_CINEMA,CINE_TYPE,CINE_NBRE_ECRAN,CARTO_MUSEE,MUSEE_TYPE,CENTRE_INTERPRETATION,CARTO_EXPO,EXPO_TYPE,EXPO_TRAM,CARTO_PATRIMOINE,MAISON_ILLUSTRES,CARTO_SPECTACLE,SPECT_TYPE,RES_G20_T,RES_ACTES_IF,CARTO_ENSEIGNEMENT,ENS_SUP_CULTURE,CARTO_PRATIQUES_AMATEURS,PRATIQUES_AMATEURS,CARTO_FREQ,FREQ_2013,ARCHIVES,N_VOIE,C_SUF1,C_SUF2,C_SUF3,C_DESI,C_LIAISON,L_VOIE,N_SQ_EP,C_NIV1,C_NIV2,C_NIV3,COORD_X,COORD_Y
Bibliothﾊque Centrale Elsa Triolet,93,Bobigny,93008,93000,2,Oui,Bobigny-Pablo Picasso,GPE - L15,Oui,0,Non,3600,M,4178,,,,,,,,,,,,,,,,,,,,,,,4, ,,,RUE,,UNION,933000458,13,131,13116,"659078,0319","6867623,476"
Bibliothﾊque Charcot,92,Courbevoie,92026,92400,3,Oui,Bﾂcon-Les-Bruyﾊres,GPE - L15,Oui,1,Non,472,M,6220,,,,,,,,,,,,,,,,,,,,,,,184,b,,,BD,,SAINT DENIS,923005913,13,131,13116,"646618,4","6867063,5"
Bibliothﾊque de la Fourche (centre Socioculturel de la Fourche),92,Clamart,92023,92140,3,Oui,Fort d'Issy/Vanves/Clamart,GPE - L15,Oui,1,Non,180,I,6215,,,,,,,,,,,,,,,,,,,,,,,216, ,,,AV,,JEAN JAURES,923000915,13,131,13116,"646492,9426","6857181,665"
Bibliotheque de l'oiseau Lyre,92,Boulogne-Billancourt,92012,92100,3,Oui,Pont de Sﾊvres,GPE - L15,Oui,0,Non,0,A,,,,,,,,,,,,,,,,,,,,,,,,1732, ,,,ALL,,VIEUX PONT DE SEVRES,923000605,13,131,13116,"643760,6668","6859029,919"
Bibliothﾊque Discothﾊque George Sand,94,L'Hay-les-Roses,94038,94240,3,Oui,Chevilly Trois Communes,GPE - L14,Oui,0,Oui,1800,M,4229,,,,,,,,,,,,,,,,,,,,,,,21, ,,,RUE,,HENRI THIRARD,943001662,13,131,13116,"651865,8362","6853326,405"
Bibliotheque du Forum,92,Boulogne-Billancourt,92012,92100,3,Oui,Pont de Sﾊvres,GPE - L15,Oui,0,Non,0,A,,,,,,,,,,,,,,,,,,,,,,,,1678, ,,,ALL,,VIEUX PONT DE SEVRES,923000606,13,131,13116,"643719,969","6858997,632"
Bibliotheque du Plateau Mont Valerien,92,Rueil-Malmaison,92063,92500,3,Oui,"Rueil/Suresnes ""Mont-Valerien""",GPE - L15,Oui,0,Non,80,M,6230,,,,,,,,,,,,,,,,,,,,,,,, ,,,PL,DU,HUIT MAI 1945,923004527,13,131,13116,"641536,2854","6863749,367"
Bibliothﾊque ﾐmile Aillaud,93,Bobigny,93008,93000,3,Oui,Pont de Bondy,GPE - L15,Oui,0,Non,700,M,6251,,,,,,,,,,,,,,,,,,,,,,,60, ,,,AV,,EDOUARD VAILLANT,933000459,13,131,13116,"660983,9779","6867855,055"
Bibliothﾊque Henri Michaux,93,Aubervilliers,93001,93300,3,Oui,Fort d'Aubervilliers,GPE - L15,Oui,0,Non,668,I,10323,,,,,,,,,,,,,,,,,,,,,,,27,b,,,RUE,,LOPEZ ET JULES MARTIN,933000333,13,131,13116,"655989,6141","6868515,688"
Bibliothﾊque Marguerite Yourcenar,93,Sevran,93071,93270,3,Oui,Sevran-Beaudottes,GPE - L16,Oui,0,Non,550,M,6268,,,,,,,,,,,,,,,,,,,,,,,, ,,,PL,,NELSON MANDELA,933002713,13,131,13116,"665177,3295","6872021,995"
Bibliothﾊque Municipale Colette Vivier,75,Paris 17e Arrondissement,75117,75017,3,Oui,Porte de Clichy,GPE - L14,Oui,0,Non,506,M,10226,,,,,,,,,,,,,,,,,,,,,,,6, ,,,RUE,,FOURNEYRON,752003387,13,131,13116,"650112,0972","6865745,089"
Bibliothﾊque Municipale Colette Vivier,75,Paris 17e Arrondissement,75117,75017,3,Oui,Pont Cardinet,GPE - L14,Oui,0,Non,506,M,10226,,,,,,,,,,,,,,,,,,,,,,,6, ,,,RUE,,FOURNEYRON,752003387,13,131,13116,"650112,0972","6865745,089"
Bibliothﾊque Municipale Denis-Diderot,93,Bondy,93010,93140,2,Oui,Pont de Bondy,GPE - L15,Oui,0,Non,2960,I,4179,,,,,,,,,,,,,,,,,,,,,,,23, ,,,RUE,,ROGER SALENGRO,933000531,13,131,13116,"661825,3747","6866986,273"
Bibliothﾊque Municipale Franﾇois Cavana,94,Nogent-sur-Marne,94052,94130,3,Oui,Le Perreux - Nogent,GPE - L15,Oui,0,Non,960,M,4237,,,,,,,,,,,,,,,,,,,,,,,36, ,,,BD,,GALLIENI,943002135,13,131,13116,"662143,2927","6860157,945"
Biblioth�que Paul Eluard,93,Aubervilliers,93001,93300,3,Oui,Stade de France,GPE - L15,Oui,0,Non,395,I,10324,,,,,,,,,,,,,,,,,,,,,,,30, ,,,RUE,,GA�TAN LAMY,933000334,13,131,13116,"653724,7505","6868688,267"
Bibliothﾊque pour tous,92,Courbevoie,92026,92400,3,Oui,Bﾂcon-Les-Bruyﾊres,GPE - L15,Oui,0,Non,0,A,,,,,,,,,,,,,,,,,,,,,,,,323,,,,BD,,SAINT DENIS,923006047,13,131,13116,"646949,7251","6867339,768"
Bibliothﾊque Romain Rolland,93,Pantin,93055,93500,3,Oui,Fort d'Aubervilliers,GPE - L15,Oui,0,Non,300,I,6263,,,,,,,,,,,,,,,,,,,,,,,, ,,,AV,,COURTILLIERES,933002260,13,131,13116,"656654,6467","6868333,365"
Bibliothﾊque Saint-John Perse,93,Aubervilliers,93001,93300,3,Oui,Mairie d'Aubervilliers,GPE - L15,Oui,0,Non,968,I,4174,,,,,,,,,,,,,,,,,,,,,,,2, ,,,RUE,,EDOUARD POISSON,933000335,13,131,13116,"654850,3669","6868033,108"
Bibliothﾊque-discothﾊque Centrale,94,Cachan,94016,94230,3,Oui,Arcueil-Cachan,GPE - L15,Oui,0,Non,1986,M,4219,,,,,,,,,,,,,,,,,,,,,,,11, ,,,RUE,,CAMILLE DESMOULINS,943000689,13,131,13116,"651094,8029","6855065,364"
Bibliothﾊque-discothﾊque Franﾇois Rabelais,92,Gennevilliers,92036,92230,2,Oui,Les Agnettes,GPE - L15,Oui,0,Non,2000,M,4155,,,,,,,,,,,,,,,,,,,,,,,177, ,,,AV,,GABRIEL PERI,923001307,13,131,13116,"648285,8546","6869771,349"
Bibliothﾊque-Discothﾊque Municipale Batignolles,75,Paris 17e Arrondissement,75117,75017,3,Oui,Pont Cardinet,GPE - L14,Oui,0,Non,280,M,10216,,,,,,,,,,,,,,,,,,,,,,,18, ,,,RUE,,BATIGNOLLES,752003386,13,131,13116,"650262,189","6865159,082"
Bibliothﾊque-mﾂdiathﾊque Municipale Nelson Mandela,94,Vitry-sur-Seine,94081,94400,2,Oui,Vitry Centre,GPE - L15,Oui,0,Non,3293,M,4257,,,,,,,,,,,,,,,,,,,,,,,26, ,,,RUE,,MAXIMILIEN ROBESPIERRE,943003128,13,131,13116,"655053,9572","6854599,356"
Cafﾂ-Thﾂﾃtre Vissi d'Arte,75,Paris 17e Arrondissement,75117,75017,3,Oui,Porte de Clichy,GPE - L14,,,,,,,,,,,,,,,,,,Oui,autre,,,,,,,,,,18, , , ,RUE, ,BROCHANT,753001100,13,133,13312,"650006,9736","6865655,174"
Cafﾂ-Thﾂﾃtre Vissi d'Arte,75,Paris 17e Arrondissement,75117,75017,3,Oui,Pont Cardinet,GPE - L14,,,,,,,,,,,,,,,,,,Oui,autre,,,,,,,,,,18, , , ,RUE, ,BROCHANT,753001100,13,133,13312,"650006,9736","6865655,174"
Carre des Coignard,94,Nogent-sur-Marne,94052,94130,3,Oui,Le Perreux - Nogent,GPE - L15,,,,,,,,,,,,,Oui,autres,,,,,,,,,,,,,,,150, ,,,GR, ,,943002143,13,133,13321,"662474,4947","6859885,493"
Centre culturel,77,Chelles,77108,77500,3,Oui,Chelles,GPE - L16,,,,,,,,,,,,,,,,,,,,,,,,Oui,14,,,,9,,,,PL,DES,MARTYRS DE CHATEAUBRIANT,770000067,13,134,13414,"670257,6717","6864245,384"
Centre Culturel,92,Bois-Colombes,92009,92270,3,Oui,Bois-Colombes,GPE - L15,,,,,,,,,,,,,,,,,,,,,,,,Oui,14,,,,7, ,,,VLA,,AUBEPINES,923000494,13,134,13414,"646521,4545","6868471,06"
Centre Culturel,94,Chevilly-Larue,94021,94550,3,Oui,Chevilly Trois Communes,GPE - L14,,,,,,,,,,,,,,,,,,,,,,,,Oui,14,,,,102, ,,,AV,,GENERAL DE GAULLE,943000862,13,134,13414,"652254,7917","6852490,308"
Centre Culturel Andre Malraux,93,Le Bourget,93013,93350,3,Oui,Le Bourget RER B,GPE - L16 / L17,,,,,,,,,,,,,,,,,,,,,,,,Oui,14,,,,10,,,,AV,,FRANCIS DE PRESSENSE,933009105,13,134,13414,"657867,8","6870420,3"
Centre culturel annexe Faubourg de l'Arche,92,Courbevoie,92026,92400,3,Oui,La Dﾂfense,GPE - L15,,,,,,,,,,,,,,,,,,,,,,,,Oui,14,,,,2,,,,ALL,,BERNARD DE PALISSY,923005928,13,134,13414,"644130,3","6866689,2"
Centre culturel annexe Les Corolles,92,Courbevoie,92026,92400,3,Oui,La Dﾂfense,GPE - L15,,,,,,,,,,,,,,,,,,,,,,,,Oui,14,,,,11,,,,SQ,DES,COROLLES,923005929,13,134,13414,"644657,7","6865868,7"
Centre culturel annexe Villebois-Mareuil,92,Courbevoie,92026,92400,3,Oui,Bﾂcon-Les-Bruyﾊres,GPE - L15,,,,,,,,,,,,,,,,,,,,,,,,Oui,14,,,,88, ,,,RUE,,ARMAND SILVESTRE,923001057,13,134,13414,"646310,3825","6867146,957"
Centre culturel annxe Pavillon Haussmann,92,Courbevoie,92026,92400,3,Oui,Bﾂcon-Les-Bruyﾊres,GPE - L15,,,,,,,,,,,,,,,,,,,,,,,,Oui,14,,,,7,,,,RUE,,HAUSSMANN,923005931,13,134,13414,"647028,9","6867471,2"
Centre culturel communal,92,Nanterre,92050,92000,3,Oui,Nanterre La Boule,GPE - L15,,,,,,,,,,,,,,,,,,,,,,,,Oui,14,,,,10,,,,RUE,DES,ANCIENNES MAIRIES,923006059,13,134,13414,"641188,7","6866035,7"
Centre Culturel Communal,94,Cachan,94016,94230,3,Oui,Arcueil-Cachan,GPE - L15,,,,,,,,,,,,,,,,,,,,,,,,Oui,14,,,,15, ,,,RUE,,GALLIENI,943000694,13,134,13414,"650967,4512","6855282,15"
Centre Culturel Jean Houdremont,93,La Courneuve,93027,93120,2,Oui,La Courneuve - Six routes,GPE - L16 / L17,,,,,,,,,,,,,,,,,,Oui,thﾂﾃtre de ville,,,,,,,,,,11, ,,,AV,,GENERAL LECLERC,933009043,13,133,13313,"654419,3939","6869791,645"
Centre Culturel Jean Houdremont,93,La Courneuve,93027,93120,3,Oui,La Courneuve - Six routes,GPE - L16 / L17,,,,,,,,,,,,,,,,,,,,,,,,Oui,14,,,,11, ,,,AV,,GENERAL LECLERC,933009062,13,134,13414,"654419,3939","6869791,645"
Centre Culturel Salvador Allende,93,Neuilly-sur-Marne,93050,93330,3,Oui,Neuilly-Fauvette,GPE - L11,,,,,,,,,,,,,,,,,,,,,,,,Oui,14,,,,, ,,,AV,,DAUPHINE,933002062,13,134,13414,"665816,423","6863225,436"
Centre d'Animation Baudricourt,75,Paris 13e Arrondissement,75113,75013,,Oui,Maison Blanche - Paris XIIIe,GPE - L14,,,,,,,,,,,,,,,,,,,,,,,,Oui,14,,,,6, ,,,RUE,,SIMONE WEIL,752002154,10,106,10614,"653313,2484","6858366,054"
Centre d'Animation Garef Aﾂrospatial,75,Paris 13e Arrondissement,75113,75013,,Oui,Maison Blanche - Paris XIIIe,GPE - L14,,,,,,,,,,,,,,,,,,,,,,,,Oui,14,,,,2, ,,,RUE,,EMILE LEVASSOR,752002152,10,106,10614,"653650,4215","6858049,287"
Centre d'Animation Inter Club 17,75,Paris 17e Arrondissement,75117,75017,,Oui,Pont Cardinet,GPE - L14,,,,,,,,,,,,,,,,,,,,,,,,Oui,14,,,,47, ,,,RUE,,SAUSSURE,752002165,10,106,10614,"649762,7188","6865243,913"
Centre d'Animation La Jonquiﾊre,75,Paris 17e Arrondissement,75117,75017,,Oui,Porte de Clichy,GPE - L14,,,,,,,,,,,,,,,,,,,,,,,,Oui,14,,,,88, ,,,RUE,,LA JONQUIERE,752002164,10,106,10614,"650075,5561","6866297,444"
Centre d'Animation Poterne des Peupliers,75,Paris 13e Arrondissement,75113,75013,,Oui,Maison Blanche - Paris XIIIe,GPE - L14,,,,,,,,,,,,,,,,,,,,,,,,Oui,14,,,,1, ,,,RUE,,GOUTHIERE,752002153,10,106,10614,"652363,1355","6858044,738"
Centre d'arts Plastiques Albert Chanot,92,Clamart,92023,92140,3,Oui,Fort d'Issy/Vanves/Clamart,GPE - L15,,,,,,,,,,,,,Oui,autres,,,,,,,,,,,,,,,33, ,,,RUE,,BRISSARD,923000922,13,133,13321,"646109,6715","6857187,91"
Centre d'arts Plastiques Albert Chanot,92,Clamart,92023,92140,3,Oui,Fort d'Issy/Vanves/Clamart,GPE - L15,,,,,,,,,,,,,,,,,,,,,,,,Oui,13,,,,33, ,,,RUE, ,BRISSARD,923005036,13,134,13413,"646108,6375","6857189,225"
Centre d'arts Plastiques d'aubervilliers Camille Claudel,93,Aubervilliers,93001,93300,3,Oui,Fort d'Aubervilliers,GPE - L15,,,,,,,,,,,,,,,,,,,,,,,,Oui,13,,,,27,b,,,RUE,,LOPEZ ET JULES MARTIN,933009051,13,134,13413,"655989,6141","6868515,688"
Centre d'Avctivitﾂs Thﾂﾃtrales,93,Bondy,93010,93140,3,Oui,Pont de Bondy,GPE - L15,,,,,,,,,,,,,,,,,,,,,,,,Oui,11,,,,0,,,,RUE,DU,POTAGER,933008895,13,134,13411,"661227,8069","6867085,954"
Centre de la Danse (Gymnase Aﾋache),93,Bondy,93010,93140,3,Oui,Pont de Bondy,GPE - L15,,,,,,,,,,,,,,,,,,,,,,,,Oui,11,,,,0,,,,RUE,,PAUL VAILLANCOURT,933008898,13,134,13411,"661475,6994","6867022,995"
Centre de musique baroque,78,Versailles,78646,78000,1,Oui,Versailles Chantiers,GPE - L18,,,,,,,,,,,,,,,,,,,,,,Oui,12,,,,,,22,,,,AV,DE,PARIS,780000020,10,103,10319,"636368,1919","6855986,28"
centre des Cultures Urbaines (Musique),93,Bondy,93010,93140,3,Oui,Pont de Bondy,GPE - L15,,,,,,,,,,,,,,,,,,,,,,,,Oui,14,,,,0,,,,RUE,DU,POTAGER,933008993,13,134,13414,"661227,8069","6867085,954"
Centre Dramatique de la Courneuve,93,La Courneuve,93027,93120,3,Oui,La Courneuve - Six routes,GPE - L16 / L17,,,,,,,,,,,,,,,,,,,,,,,,Oui,11,,,,21, ,,,AV,,GABRIEL PERI,933001464,13,134,13411,"655138,2768","6869901,194"
Centre Eductaif et Culturel du Bourget CECB,93,Le Bourget,93013,93350,3,Oui,Le Bourget RER B,GPE - L16 / L17,,,,,,,,,,,,,,,,,,,,,,,,Oui,11,,,,1,,,,RUE,DES,JARDINS,933009083,13,132,13211,"657331,3","6870663,5"
Centre Guynemer,92,Chﾃtillon,92020,92320,3,Oui,Chﾃtillon-Montrouge,GPE - L15,,,,,,,,,,,,,,,,,,,,,,,,Oui,14,,,,2, ,,,RUE,,GUYNEMER,923000824,13,134,13414,"648129,9164","6856838,629"
Centre Socio Culturel Valette,92,Malakoff,92046,92240,3,Oui,Chﾃtillon-Montrouge,GPE - L15,,,,,,,,,,,,,,,,,,,,,,,,Oui,14,,,,3, ,,,RUE,,GALLIENI,923004093,13,134,13414,"648808,4246","6857709,587"
Centre Socioculturel de la Fourche,92,Clamart,92023,92140,3,Oui,Fort d'Issy/Vanves/Clamart,GPE - L15,,,,,,,,,,,,,,,,,,,,,,,,Oui,14,,,,216, ,,,AV,,JEAN JAURES,923004826,13,134,13414,"646498,2089","6857187,112"
Centre Socio-culturel des Marnaudes,93,Rosny-sous-Bois,93064,93110,3,Oui,Rosny-Bois-Perrier,GPE - L15,,,,,,,,,,,,,,,,,,,,,,,,Oui,14,,,,, ,,,RUE,,JACQUES OFFENBACH,933005175,13,134,13414,"662226,8453","6864770,06"
Centre Socio-culturel Libertﾂ,94,Maisons-Alfort,94046,94700,3,Oui,Le Vert de Maisons,GPE - L15,,,,,,,,,,,,,,,,,,,,,,,,Oui,14,,,,59, ,,,AV,,LIBERTE,943001758,13,134,13414,"658333,6545","6854803,208"
Chant Libre,75,Paris 17e Arrondissement,75117,75017,3,Oui,Pont Cardinet,GPE - L14,,,,,,,,,,,,,,,,,,,,,,,,Oui,11,,,,33, , , ,RUE, ,LA CONDAMINE,753000248,13,132,13211,"650339,4935","6865397,273"
Chﾃpiteau Aﾂrogare,93,Le Bourget,93013,93350,3,Oui,Le Bourget RER B,GPE - L16 / L17,,,,,,,,,,,,,,,,,,Oui,autre,,,,,,,,,,1,,,,PL,DU,MARCHE,933009089,13,133,13313,"657872,4","6870476,3"
Cimetiﾊre Parc du Mont Valerien,92,Nanterre,92050,92000,1,Oui,"Rueil/Suresnes ""Mont-Valerien""",GPE - L15,,,,,,,,,,Oui,,mﾂmoire,,,,,,,,,,,,,,Oui,18302,,102, ,,,RUE,DU,CALVAIRE,923005362,23,231,23111,"641944,9639","6864352,023"
Cine Montrouge,92,Montrouge,92049,92120,3,Oui,Chﾃtillon-Montrouge,GPE - L15,,,,,,,Oui,AE 2013,1,,,,,,,,,,,,,,,,,,,,88, ,,,RUE,,RACINE,923001960,13,136,13611,"649411,0762","6857247,755"
Cinema Andrﾂ Malraux,93,Le Bourget,93013,93350,3,Oui,Le Bourget RER B,GPE - L16 / L17,,,,,,,Oui,gﾂnﾂraliste,1,,,,,,,,,,,,,,,,,,,,10, ,,,AV, ,FRANCIS DE PRESSENSE,933005825,13,136,13611,"657867,6454","6870398,517"
Cinﾂma Jean Vigo,92,Gennevilliers,92036,92230,3,Oui,Les Agnettes,GPE - L15,,,,,,,Oui,AE 2013,2,,,,,,,,,,,,,,,,,,,,1, ,,,RUE,,PIERRE ET MARIE CURIE,923001313,13,136,13611,"648201,5349","6870064,517"
Cinﾂma Victor-hugo,92,Bagneux,92007,92220,3,Oui,Bagneux M4,GPE - L15,,,,,,,Oui,gﾂnﾂraliste,1,,,,,,,,,,,,,,,,,,,,14, ,,,AV,,VICTOR HUGO,923000051,13,136,13611,"650439,6901","6856419,052"
Cinﾂmassy,91,Massy,91377,91300,3,Oui,Massy-Opﾂra,GPE - L18,,,,,,,Oui,AE 2013,3,,,,,,,,,,,,,,,,,,,,,,,,PL,DE,FRANCE,910000031,13,136,13611,"647631,1522","6848039,022"
Citﾂ de la Cﾂramique,92,Saint-Cloud,92072,92310,1,Oui,Pont de Sﾊvres,GPE - L15,,,,,,,,,,Oui,MN MF,,,,,,,,,,,,,,,Oui,46189,,, ,,,PL,,MANUFACTURE,923002740,13,133,13311,"642996,3392","6859027,44"
Club Musical de la Poste et France Tﾂlﾂcom-Paris,75,Paris 13e Arrondissement,75113,75013,3,Oui,Maison Blanche - Paris XIIIe,GPE - L14,,,,,,,,,,,,,,,,,,,,,,,,Oui,11,,,,40,,,,RUE,DES,PEUPLIERS,753002111,13,132,13211,"652461,0451","6858183,337"
Conservatoire,91,Massy,91377,91300,3,Oui,Massy-Opﾂra,GPE - L18,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,8,,,,RUE,DES,ETATS UNIS,910000028,13,132,13217,"647335,4149","6847952,781"
"Conservatoire  Intercommunal de Musique,Danse et Art Dramatique",94,Gentilly,94037,94250,3,Oui,Kremlin-Bicﾈtre Hﾓpital,GPE - L14,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,2, ,,,RUE,,JULES FERRY,943001340,13,132,13217,"652300,0881","6857172,56"
Conservatoire Centre Charlemagne,92,Bois-Colombes,92009,92270,3,Oui,Bois-Colombes,GPE - L15,,,,,,,,,,,,,,,,,,,,,,,,Oui,11,,,,7, ,,,RUE,,FELIX BRAQUET,923005985,13,132,13211,"646347,2112","6868414,887"
Conservatoire de Bondy,93,Bondy,93010,93140,3,Oui,Bondy,GPE - L15,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,23,b,,,RUE,,ROGER SALENGRO,933000533,13,132,13217,"661796,172","6866909,147"
Conservatoire de Bondy,93,Bondy,93010,93140,3,Oui,Pont de Bondy,GPE - L15,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,23,b,,,RUE,,ROGER SALENGRO,933000533,13,132,13217,"661796,172","6866909,147"
Conservatoire de Musique et d'art Dramatique Francis Poulenc,94,Nogent-sur-Marne,94052,94130,3,Oui,Le Perreux - Nogent,GPE - L15,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,150, ,,,GR, ,CARRE DES COIGNARD,943002137,13,132,13217,"662474,4993","6859886,038"
