NOM_LIEU,DEP,COMMUNE,CODE_INSEE,CODE_POSTAL,RAYONNEMENT,GPE_800M,GPE_STATION,GPE_LIGNE,CARTO_BIB,BIB_RECENT2000,BIB_OUV_DIM,BIB_SURFM2,BIB_GESTION,BIB_CODE_OBS_LIVRE,CARTO_CINEMA,CINE_TYPE,CINE_NBRE_ECRAN,CARTO_MUSEE,MUSEE_TYPE,CENTRE_INTERPRETATION,CARTO_EXPO,EXPO_TYPE,EXPO_TRAM,CARTO_PATRIMOINE,MAISON_ILLUSTRES,CARTO_SPECTACLE,SPECT_TYPE,RES_G20_T,RES_ACTES_IF,CARTO_ENSEIGNEMENT,ENS_SUP_CULTURE,CARTO_PRATIQUES_AMATEURS,PRATIQUES_AMATEURS,CARTO_FREQ,FREQ_2013,ARCHIVES,N_VOIE,C_SUF1,C_SUF2,C_SUF3,C_DESI,C_LIAISON,L_VOIE,N_SQ_EP,C_NIV1,C_NIV2,C_NIV3,COORD_X,COORD_Y
Acadﾂmie d'Arts de Meudon et des Hauts-de-Seine,92,Meudon,92048,92190,2,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,13,,,,15,,,,RUE,,PORTO RICHE,923005932,13,134,13413,"643730,9","6857232,6"
Acadﾂmie de Danse AMD - Danse,75,Paris 12e Arrondissement,75112,75012,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11,,,,107, , , ,RUE,DE,REUILLY,753000616,13,132,13211,"655407,057","6860456,261"
Acadﾂmie de Danse Montparnasse - Danse,75,Paris 14e Arrondissement,75114,75014,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11,,,,92, , , ,BD,DU,MONTPARNASSE,753000630,13,132,13211,"650598,4796","6860504,454"
Acadﾂmie de Danse Poncelet - Danse,75,Paris 17e Arrondissement,75117,75017,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11,,,,19, , , ,RUE, ,PONCELET,753000953,13,132,13211,"648454,7504","6864588,284"
Acadﾂmie de Musique,75,Paris 16e Arrondissement,75116,75016,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11,,,,3, , , ,RUE, ,VINEUSE,753000604,13,132,13211,"647505,8033","6862328,312"
Acadﾂmie des Arts,94,Thiais,94073,94320,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,5, ,,,PL,,GENERAL LECLERC,943006793,13,132,13217,"655428,0987","6851876,163"
Acadﾂmie des Arts,94,Thiais,94073,94320,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,13,,,,5, ,,,PL,,GENERAL LECLERC,943006746,13,134,13413,"655428,0987","6851876,163"
Acadﾂmie du 13 eme,75,Paris 13e Arrondissement,75113,75013,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11,,,,13, , , ,RUE, ,GODEFROY,753000576,13,132,13211,"652839,3312","6859284,293"
Acadﾂmie du spectacle ﾂquestre,78,Versailles,78646,78000,1,Non,,,,,,,,,,,,,,,,,,,,Oui,autre,,,,,,,,,,,,,,AV,,ROCKFELLER,780000009,13,133,13313,"635839,987","6856247,936"
Acadﾂmie Grandes Terres,75,Paris 11e Arrondissement,75111,75011,,Non,,,,,,,,,,,,,,,,,,,,,,,,Oui,22,,,,,,5, , ,,RUE,,CHARONNE,751007559,10,103,10315,"654067,6968","6861552,543"
Acadﾂmie Pliaska - Danse,75,Paris 9e Arrondissement,75109,75009,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11,,,,79, , , ,RUE,DE,DUNKERQUE,753001045,13,132,13211,"652103,2327","6864846,368"
Accordeon XIV,75,Paris 14e Arrondissement,75114,75014,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11,,,,44, , , ,RUE,DE LA,TOMBE ISSOIRE,753000745,13,132,13211,"651128,9642","6859154,92"
Ackenbush,92,Malakoff,92046,92240,3,Non,,,,,,,,,,,,,,,,,,,,Oui,autre,,,,,,,,,,3,,,,RUE,,RAYMOND FASSIN,923006037,13,133,13313,"648852,1","6858227,9"
ACP La Manufacture Chanson,75,Paris 11e Arrondissement,75111,75011,3,Non,,,,,,,,,,,,,,,,,,,,,,,,Oui,14,Oui,11,,,,124, , , ,AV,DE LA,REPUBLIQUE,753000669,13,132,13211,"654932,0366","6862727,218"
Actes Association pour la crﾂation,92,Gennevilliers,92036,92230,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11,,,,9,,,,BD,,JEAN JACQUES ROUSSEAU,923005921,13,134,13411,647518,"6870626,1"
Agitakt,75,Paris 15e Arrondissement,75115,75015,3,Non,,,,,,,,,,,,,,,,,,,,Oui,autre,,,,,,,,,,21, ,,,AV,,MAINE,752003812,13,133,13312,"650148,1426","6860593,51"
AIMP Acadﾂmie du 11 eme,75,Paris 11e Arrondissement,75111,75011,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11,,,,11, , , ,RUE, ,AMELOT,753000585,13,132,13211,"653720,503","6861883,377"
AIMP Acadﾂmie du 11 eme Voltaire,75,Paris 11e Arrondissement,75111,75011,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11,,,,16, , , ,RUE, ,GERBIER,753000586,13,132,13211,"654976,5393","6862235,574"
AIMP Acadﾂmie du 12 eme,75,Paris 12e Arrondissement,75112,75012,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11,,,,8, , , ,RUE,DE,WATTIGNIES,753001211,13,132,13211,"655417,5009","6859797,438"
AIMP Acadﾂmie du 13 eme,75,Paris 13e Arrondissement,75113,75013,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11,,,,8, , , ,RUE, ,ALBERT BAYET,753001212,13,132,13211,"652980,1285","6859093,256"
AIMP Acadﾂmie du 14 eme,75,Paris 14e Arrondissement,75114,75014,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11,,,,5, , , ,RUE, ,BOYER-BARRET,753000600,13,132,13211,"649913,6101","6859438,146"
AIMP Acadﾂmie du 15 eme,75,Paris 15e Arrondissement,75115,75015,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11,,,,85, , , ,RUE,DE L',ABBE GROULT,753000602,13,132,13211,"648492,3561","6860060,273"
AIMP Acadﾂmie du 15 eme Mistral,75,Paris 15e Arrondissement,75115,75015,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11,,,,16, , , ,VLA, ,FREDERIC MISTRAL,753000601,13,132,13211,"647636,7101","6860021,499"
Air de Paris,75,Paris 13e Arrondissement,75113,75013,3,Non,,,,,,,,,,,,,,,Oui,autres,,,,,,,,,,,,,,,28, , , ,RUE, ,LOUISE WEISS,753001035,13,133,13321,"653759,8517","6859521,195"
Aire Falguiﾊre,75,Paris 15e Arrondissement,75115,75015,3,Non,,,,,,,,,,,,,,,,,,,,Oui,autre,,,,,,,,,,55, ,,,RUE,,PROCESSION,752003815,13,133,13312,"649335,9043","6859840,208"
Akteon Thﾂﾃtre,75,Paris 11e Arrondissement,75111,75011,3,Non,,,,,,,,,,,,,,,,,,,,Oui,autre,,,,,,,,,,11, ,,,RUE,,GENERAL BLAISE,752003770,13,133,13312,"654379,747","6862593,406"
Al Fajr - Danse,75,Paris 11e Arrondissement,75111,75011,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11,,,,134, , , ,RUE, ,SAINT-MAUR,753000840,13,132,13211,"654164,9692","6863317,252"
Alambic Studio Thﾂﾃtre,75,Paris 18e Arrondissement,75118,75018,3,Non,,,,,,,,,,,,,,,,,,,,Oui,autre,,,,,,,,,,12, ,,,RUE,,NEUVE DE LA CHARDONNIERE,752003840,13,133,13312,"652212,8191","6866327,562"
Alhambra,75,Paris 10e Arrondissement,75110,75010,2,Non,,,,,,,,,,,,,,,,,,,,Oui,autre,,,,,,,,,,21, , , ,RUE, ,YVES TOUDIC,753000286,13,133,13312,"653279,726","6863590,089"
Amana Studio - Danse,75,Paris 14e Arrondissement,75114,75014,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11,,,,21, , , ,RUE, ,FROIDEVAUX,753000628,13,132,13211,"650738,4802","6859691,871"
American School of Modern Music,75,Paris 15e Arrondissement,75115,75015,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11,,,,117, , , ,RUE,DE LA,CROIX NIVERT,753000579,13,132,13211,"648175,1038","6860460,377"
Ancienne Brasserie Bouchoule,93,Montreuil,93048,93100,3,Non,,,,,,,,,,,,,,,,,,,,Oui,autre,,,,,,,,,,2,,,,RUE,,EMILE ZOLA,933008930,13,133,13313,657393,"6861800,3"
Ancienne Piscine Salle Polyvalente,93,Livry-Gargan,93046,93190,3,Non,,,,,,,,,,,,,,,,,,,,Oui,autre,,,,,,,,,,0,,,,ALL,,MARC SEGUIN,933008977,13,133,13313,"665971,3404","6869248,851"
Animakt,91,Saulx-les-Chartreux,91587,91160,3,Non,,,,,,,,,,,,,,,,,,,,Oui,autre,,1,,,Oui,12,,,,1,,,,RUE,,EMILE FONTAINE,910000003,13,132,13213,"646013,4022","6843779,219"
Animathﾊque Maison des Jeunes et de la Culture,92,Sceaux,92071,92330,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,14,,,,21, ,,,RUE,DES,ECOLES,923004608,13,134,13414,"648098,6661","6853228,033"
Anis Gras,94,Arcueil,94003,94110,3,Non,,,,,,,,,,,,,,,,,,,,Oui,autre,,1,,,Oui,14,,,,55, ,,,AV,,LAPLACE,943000261,13,133,13313,"650755,8789","6856772,425"
Anis Gras - Le Lieu de l'Autre,94,Arcueil,94003,94110,2,Non,,,,,,,,,,,,,,,,,,,,Oui,autre,,,,,,,,,,51, ,,,AV, ,LAPLACE,943005917,13,133,13312,"650779,5216","6856761,639"
Antenne Broussais de la MPAA,75,Paris 14e Arrondissement,75114,75014,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,14,,,,96,,,,RUE,,DIDOT,753002086,13,134,13419,"649692,7872","6858832,42"
Antenne Saint-Blaise de la MPAA,75,Paris 20e Arrondissement,75120,75020,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,14,,,,37,,,,RUE,,SAINT BLAISE,753002101,13,134,13419,"656453,1758","6862220,179"
Apollo,77,Pontault-Combault,77373,77340,3,Non,,,,,,,,,Oui,AE 2013,2,,,,,,,,,,,,,,,,,,,,62,,,,AV,DE LA,REPUBLIQUE,770000054,13,136,13611,"671448,9553","6855995,8"
Appassionato,75,Paris 11e Arrondissement,75111,75011,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11,,,,30, , , ,RUE, ,LEON FROT,753000670,13,132,13211,"655049,1898","6861832,241"
Applica-Prazan Rive Droite,75,Paris 8e Arrondissement,75108,75008,3,Non,,,,,,,,,,,,,,,Oui,autres,,,,,,,,,,,,,,,14, , , ,AV, ,MATIGNON,753001192,13,133,13321,"649642,276","6863628,497"
Applicat-Prazan Rive Gauche,75,Paris 6e Arrondissement,75106,75006,3,Non,,,,,,,,,,,,,,,Oui,autres,,,,,,,,,,,,,,,16, , , ,RUE,DE,SEINE,753001371,13,133,13321,"651319,909","6861997,394"
Aquarium de la Porte Dorﾂe,75,Paris 12e Arrondissement,75112,75012,2,Non,,,,,,,,,,,,,MF,,,,,,,,,,,,,,,Oui,212497,,293, , , ,AV, ,DAUMESNIL,753001464,13,135,13511,"656661,2837","6859560,308"
Aquarium du Trocadﾂro - Cinﾂaqua,75,Paris 16e Arrondissement,75116,75016,1,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,99999,,, ,,,AV,,ALBERT DE MUN,753001466,13,135,13511,"647999,2372","6862726,658"
Arboretum National de Chevreloup,78,Rocquencourt,78524,78150,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,12630,,30,,,,RTE,DE,VERSAILLES,780000076,24,241,24112,"634836,8162","6859292,342"
Arc de Triomphe,75,Paris 8e Arrondissement,75117,75017,1,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,1775054,,8, ,,,PL,,CHARLES DE GAULLE,752004433,24,241,24112,"648292,1579","6863981,306"
"Arcades (ateliers de Recherche, de Crﾂation Artistique et d'enseignement Supﾂrieur)",92,Issy-les-Moulineaux,92040,92130,,Non,,,,,,,,,,,,,,,,,,,,,,,,Oui,22,,,,,,52, ,,,BD,,GALLIENI,923003893,10,103,10315,"646214,1791","6859048,248"
Arc-en-Ciel ,94,Rungis,94065,94150,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,14,,,,1, ,,,PL,,GENERAL DE GAULLE,943006750,13,134,13414,"652223,52","6850104,403"
Arc-en-Ciel Ecole Jean Trubert,92,Antony,92002,92160,,Non,,,,,,,,,,,,,,,,,,,,,,,,Oui,22,,,,,,23,,,,RUE,DE L',EGLISE,923006078,10,103,10314,"648294,3",6850553
Arc-en-Ciel Thﾂﾃtre de Rungis,94,Rungis,94065,94150,2,Non,,,,,,,,,,,,,,,,,,,,Oui,thﾂﾃtre de ville,1,,,,,,,,,1, ,,,PL,,GENERAL DE GAULLE,943006797,13,133,13312,"652223,52","6850104,403"
ARCHEA,95,Louvres,95351,95380,2,Non,,,,,,,,,,,,Oui,MF,,,,,,,,,,,,,,,Oui,9038,,56,,,,RUE,DE,PARIS,950000086,13,133,13311,"663838,7318","6882003,476"
Ariel Hauts-de-Rueil,92,Rueil-Malmaison,92063,92500,3,Non,,,,,,,,,Oui,AE 2013,3,,,,,,,,,,,,,,,,,,,,58,,,,AV,DE,FOUILLEUSE,923005937,13,136,13611,"640949,8","6862776,3"
ArielCentre-Ville,92,Rueil-Malmaison,92063,92500,3,Non,,,,,,,,,Oui,AE 2013,3,,,,,,,,,,,,,,,,,,,,97, ,,,AV,,PAUL DOUMER,923002398,13,136,13611,"639909,9041","6864721,777"
Arpej,75,Paris 10e Arrondissement,75110,75010,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11,,,,29, , , ,RUE,DES,PETITES ECURIES,753000583,13,132,13211,"652420,3092","6863932,795"
Arphonie,75,Paris 5e Arrondissement,75105,75005,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11,,,,3, , , ,RUE,DU,GRIL,753000569,13,132,13211,"652635,3154","6860313,646"
Ars Longa,75,Paris 19e Arrondissement,75119,75019,3,Non,,,,,,,,,,,,,,numﾂrique,Oui,numﾂrique,,,,Oui,autre,,1,,,,,,,,104,,,,RUE,D',AUBERVILLIERS,753002038,13,133,13313,"653696,9217","6865770,937"
Art Studio Thﾂﾃtre,75,Paris 19e Arrondissement,75119,75019,3,Non,,,,,,,,,,,,,,,,,,,,Oui,autre,,,,,,,,,,229, ,,,RUE,,BELLEVILLE,752003846,13,133,13312,"655701,0698","6864115,908"
Art: Concept,75,Paris 3e Arrondissement,75103,75003,3,Non,,,,,,,,,,,,,,,Oui,autres,,,,,,,,,,,,,,,13, , , ,RUE,DES,ARQUEBUSIERS,753001036,13,133,13321,"653526,4498","6862366,629"
Artco France,75,Paris 6e Arrondissement,75106,75006,3,Non,,,,,,,,,,,,,,,Oui,autres,,,,,,,,,,,,,,,35, , , ,RUE, ,GUENEGAUD,753001374,13,133,13321,"651417,5798","6861895,873"
Association Agora Musicale de Paris,75,Paris 14e Arrondissement,75114,75014,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11,,,,48, , , ,RUE, ,SARRETTE,753000746,13,132,13211,"650602,8905","6858585,102"
Association Artistic,75,Paris 3e Arrondissement,75103,75003,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11,,,,40, , , ,RUE,DE,MONTMORENCY,753000606,13,132,13211,"652583,8052","6862803,088"
Association Artistique Brﾂsilienne - Danse,75,Paris 16e Arrondissement,75116,75016,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11,,,,80, , , ,AV, ,PAUL DOUMER,753000948,13,132,13211,"647002,2096","6862400,877"
Association Artistique Brﾂsilienne - Danse,75,Paris 16e Arrondissement,75116,75016,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11,,,,20, , , ,RUE, ,EUGENE MANUEL,753000947,13,132,13211,"647218,3465","6862428,092"
Association Atika - Danse,75,Paris 18e Arrondissement,75118,75018,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11,,,,88, , , ,RUE, ,LAMARCK,753000963,13,132,13211,"651420,4599","6865778,279"
Association Black Music School,75,Paris 15e Arrondissement,75115,75015,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11,,,,104, , , ,RUE,DE,VAUGIRARD,753000236,13,132,13211,"650351,4095","6860887,665"
Association Line & Mind - Danse,75,Paris 11e Arrondissement,75111,75011,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11,,,,44, , , ,RUE, ,AMELOT,753000841,13,132,13211,"653667,7585","6862259,12"
Association Musique Danse 20 - Danse,75,Paris 20e Arrondissement,75120,75020,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11,,,,210, , , ,RUE,DE,BELLEVILLE,753000689,13,132,13211,"655634,7956","6864074,394"
Association Piano et Chant,75,Paris 3e Arrondissement,75103,75003,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11,,,,2, , , ,RUE,DES,HAUDRIETTES,753000252,13,132,13211,"652905,4999","6862562,874"
Astral Thﾂﾃtre Parc Floral,75,Paris 12e Arrondissement,75112,75012,3,Non,,,,,,,,,,,,,,,,,,,,Oui,autre,,,,,,,,,,118, ,X, ,RTE,DE LA,PYRAMIDE,752003876,13,133,13312,"659223,9436","6860030,051"
Atelier Albers,75,Paris 5e Arrondissement,75105,75005,,Non,,,,,,,,,,,,,,,,,,,,,,,,Oui,22,,,,,,9, , ,,RUE,,ARENES,751007472,10,103,10315,"652566,6782","6860703,549"
Atelier Anne Leduc,75,Paris 12e Arrondissement,75112,75012,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,13,,,,224, , , ,RUE,DE,CHARENTON,753000059,13,134,13413,"655096,8747","6860176,483"
Atelier Anne Leduc,75,Paris 16e Arrondissement,75116,75016,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,13,,,,131, , , ,RUE,DU,RANELAGH,753000088,13,134,13413,"646231,0704","6862052,692"
Atelier Beaux-arts de la Ville de Paris,75,Paris 11e Arrondissement,75111,75011,2,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,13,,,,77, ,,,BD,,BELLEVILLE,752004373,13,134,13413,"654333,382","6863652,07"
Atelier Beaux-arts de la Ville de Paris,75,Paris 12e Arrondissement,75112,75012,2,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,13,,,,315, ,,,RUE,,CHARENTON,752004375,13,134,13413,"655601,5204","6859456,369"
Atelier Beaux-arts de la Ville de Paris,75,Paris 12e Arrondissement,75112,75012,2,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,13,,,,8, ,,,RUE,,CHARLES BAUDELAIRE,752004376,13,134,13413,"654242,6658","6861157,016"
Atelier Beaux-arts de la Ville de Paris,75,Paris 13e Arrondissement,75113,75013,2,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,13,,,,121, ,,,RUE,,GLACIERE,752004377,13,134,13413,"651757,4011","6858812,677"
Atelier Beaux-arts de la Ville de Paris,75,Paris 14e Arrondissement,75114,75014,2,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,13,,,,80, ,,,BD,,MONTPARNASSE,752004380,13,134,13413,"650513,9907","6860547,338"
Atelier Beaux-arts de la Ville de Paris,75,Paris 15e Arrondissement,75115,75015,2,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,13,,,,21, ,,,RUE,,DUPLEIX,752004382,13,134,13413,"648428,1012","6861500,752"
Atelier Beaux-arts de la Ville de Paris,75,Paris 17e Arrondissement,75117,75017,2,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,13,,,,158, ,,,RUE,,LEGENDRE,752004384,13,134,13413,"650487,7984","6865825,792"
Atelier Beaux-arts de la Ville de Paris,75,Paris 5e Arrondissement,75105,75005,2,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,13,,,,21, ,,,RUE,,PONTOISE,752004370,13,134,13413,"652393,1844","6861162,96"
Atelier Carolyn Carlson - Danse,75,Paris 12e Arrondissement,75112,75012,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11,,,,20, , , ,RTE,DU,CHAMP DE MANOEUVRES,753000619,13,132,13211,"659612,1753","6859588,918"
Atelier Chardon-savard,75,Paris 11e Arrondissement,75111,75011,,Non,,,,,,,,,,,,,,,,,,,,,,,,Oui,22,,,,,,15, , ,,RUE,,GAMBEY,751007561,10,103,10315,"653911,0381","6862990,751"
Atelier Chorﾂgraphique - Danse,75,Paris 19e Arrondissement,75119,75019,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11,,,,19, , , ,ALL,DES,EIDERS,753000679,13,132,13211,"654432,648","6866100,866"
Atelier d'Art,75,Paris 18e Arrondissement,75118,75018,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,13,,,,99, , , ,RUE,DU,MONT CENIS,753000107,13,134,13413,"651978,3061","6866188,406"
Atelier d'Art Plastiques et de gravure,92,Chaville,92022,92370,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,13,,,,1,b,,,AV,DE LA,RESISTANCE,923006058,13,134,13413,"640314,7","6856849,7"
Atelier d'arts plastiques,77,Champs-sur-Marne,77083,77420,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,13,,,,,,,,ALL,,PASCAL DULPHY,770000048,13,134,13413,"670390,7154","6861592,132"
Atelier d'Arts plastiques - Centre Grevelot,92,Sﾊvres,92072,92310,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,13,,,,6,,,,RUE,,CARLES VERNET,923006065,13,134,13413,"642552,6115","6857384,64"
Atelier d'Arts Plastiques Germain,75,Paris 19e Arrondissement,75119,75019,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,13,,,,20, , , ,RUE,DU,PLATEAU,753000108,13,134,13413,"654853,5735","6864407,025"
Atelier de Sevres,75,Paris 6e Arrondissement,75106,75006,,Non,,,,,,,,,,,,,,,,,,,,,,,,Oui,22,,,,,,47, , ,,RUE,,SEVRES,751007487,10,103,10315,"650462,6096","6861366,946"
Atelier des Epinettes,75,Paris 17e Arrondissement,75117,75017,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,13,,,,41, , , ,RUE, ,NAVIER,753000101,13,134,13413,"650482,3069","6866407,06"
Atelier des Feuillantines,75,Paris 5e Arrondissement,75105,75005,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,13,,,,40,,,,RUE,,HENRI BARBUSSE,753002719,13,134,13413,"651456,8565","6860315,35"
Atelier du Chﾃteau,75,Paris 14e Arrondissement,75114,75014,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,13,,,,180, , , ,RUE,DU,CHATEAU,753000061,13,134,13413,"650383,3173","6859453,943"
Atelier du Cirque,93,Livry-Gargan,93046,93190,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,12,,,,54, ,,,RUE,,AMEDEE DUNOIS,933001706,13,132,13213,"666182,7682","6869512,722"
Atelier Galerie Rebecca,75,Paris 18e Arrondissement,75118,75018,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,13,,,,97, , , ,RUE, ,LAMARCK,753000106,13,134,13413,"651202,5159","6865811,317"
Atelier Gaston Garino,92,Puteaux,92062,92800,3,Non,,,,,,,,,,,,Oui,SANS,,,,,,,,,,,,,,,,,,18,,,,RUE,,PARMENTIER,923006009,13,133,13311,"644277,5849","6864432,319"
Atelier Grenelle,75,Paris 7e Arrondissement,75107,75007,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,13,,,,7, , , ,RUE, ,ERNEST PSICHARI,753000054,13,134,13413,"649203,6756","6862111,926"
Atelier Grognard,92,Rueil-Malmaison,92063,92500,3,Non,,,,,,,,,,,,,,,Oui,autres,,,,,,,,,,,,,,,6, ,,,AV,,CHATEAU DE MALMAISON,923005965,13,133,13321,"639053,3783","6864023,691"
Atelier Hourde (ESAT),75,Paris 17e Arrondissement,75117,75017,,Non,,,,,,,,,,,,,,,,,,,,,,,,Oui,22,,,,,,3, ,,,RUE,,BIOT,750000047,10,103,10314,"650609,3912","6865079,787"
Atelier Jamin,75,Paris 9e Arrondissement,75109,75009,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,13,,,,20, , , ,RUE,DES,MARTYRS,753000055,13,134,13413,"651567,8837","6864416,46"
Atelier Joliot Curie,93,Saint-Ouen,93070,93400,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,13,,,,67,,,,RUE,DES,ROSIERS,933009146,13,134,13413,"651623,8612","6867325,81"
Atelier Joseph Bernard,92,Boulogne-Billancourt,92012,92100,3,Non,,,,,,,,,,,,Oui,SANS,,,,,,,,,,,,,,,,,,24, ,,,AV,,ROBERT SCHUMAN,923000618,13,133,13311,"644840,3426","6860497,241"
Atelier Koronin,75,Paris 19e Arrondissement,75119,75019,,Non,,,,,,,,,,,,,,,,,,,,,,,,Oui,22,,,,,,7, ,,,RUE,,MELINGUE,750000052,10,103,10314,"654959,9627","6864034,904"
Atelier Les Petites Ecuries,75,Paris 6e Arrondissement,75106,75006,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,13,,,,6, , , ,PL, ,SAINT-MICHEL,753000053,13,134,13413,"651823,8157","6861699,398"
Atelier Les Pinceaux,75,Paris 14e Arrondissement,75114,75014,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,13,,,,16, , , ,RUE, ,FRANCIS DE PRESSENSE,753000014,13,134,13413,"649848,6608","6859500,933"
Atelier Lezard'Tist,75,Paris 16e Arrondissement,75116,75016,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,13,,,,44, , , ,RUE, ,CLAUDE TERRASSE,753000089,13,134,13413,"645742,3795","6859984,919"
Atelier Numﾂrique,78,Versailles,78646,78000,3,Non,,,Oui,0,Non,392,M,12340,,,,,,,,,,,,,,,,,,,,,,,8,,,,RUE,,SAINT SIMON,780000019,13,131,13116,"636401,4315","6856336,114"
Atelier Pierre Soulages,94,Charenton-le-Pont,94018,94220,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,13,,,,87,b,,,RUE,,PETIT CHATEAU,943000774,13,134,13413,"656138,3188","6858707,353"
Atelier Prﾂparatoire de l'ECV,75,Paris 11e Arrondissement,75111,75011,,Non,,,,,,,,,,,,,,,,,,,,,,,,Oui,22,,,,,,1, ,,,RUE,,DAHOMEY,750000023,10,103,10314,"654664,8752","6861420,14"
Atelier Thﾂﾃtre Centre Olympe de Gouge,93,Bondy,93010,93140,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11,,,,1,,,,AV,,MAURICE BENHAMON,933008946,13,134,13411,"662158,2","6868205,3"
Atelier Thﾂﾃtre de Montmartre,75,Paris 18e Arrondissement,75118,75018,3,Non,,,,,,,,,,,,,,,,,,,,Oui,autre,,,,,,,,,,7, ,,,RUE,,COUSTOU,752003836,13,133,13312,"651158,9963","6865081,41"
Atelier Thﾂﾃtre Frederic Jacquot,75,Paris 15e Arrondissement,75115,75015,3,Non,,,,,,,,,,,,,,,,,,,,Oui,autre,,,,,,,,,,43, ,,,RUE,,MATHURIN REGNIER,752003813,13,133,13312,"649260,1285","6860083,57"
